id,query,success,error
1,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select nation_1.n_regionkey, nation_1.n_comment from nation as nation_1 where nation_1.n_nationkey is not NULL limit 10) UNION (select part_1.p_partkey, part_1.p_name from part as part_1 where part_1.p_mfgr <= part_1.p_container limit 15);",YES,""
2,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select orders_1.o_orderdate, orders_1.o_clerk, orders_1.o_totalprice from orders as orders_1 where orders_1.o_shippriority is not NULL limit 24) EXCEPT (select orders_2.o_orderdate, orders_2.o_orderpriority, orders_2.o_totalprice from orders as orders_2 where orders_2.o_totalprice is not NULL limit 30);",YES,""
3,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select nation_1.n_nationkey, nation_1.n_comment from nation as nation_1 where nation_1.n_comment is not NULL limit 17;",YES,""
4,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select customer_1.c_acctbal, customer_1.c_mktsegment, customer_1.c_phone from customer as customer_1 where customer_1.c_phone is not NULL limit 29) EXCEPT (select supplier_1.s_acctbal, supplier_1.s_phone, supplier_1.s_name from supplier as supplier_1 where supplier_1.s_address is not NULL limit 32);",YES,""
5,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select part_1.p_partkey, part_1.p_retailprice, part_1.p_container, part_1.p_size from part as part_1 where part_1.p_partkey < part_1.p_size limit 7) UNION (select customer_1.c_custkey, customer_1.c_acctbal, customer_1.c_phone, customer_1.c_nationkey from customer as customer_1 where customer_1.c_acctbal is not NULL limit 9);",YES,""
6,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select nation_1.n_comment, nation_1.n_nationkey from nation as nation_1 where nation_1.n_name is not NULL limit 16) UNION (select lineitem_1.l_comment, lineitem_1.l_orderkey from lineitem as lineitem_1 where lineitem_1.l_commitdate is not NULL limit 23);",YES,""
7,"-- meta {""num_joins"":3,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select supplier_1.s_name, supplier_1.s_comment from supplier as supplier_1 where supplier_1.s_name < supplier_1.s_phone limit 9) EXCEPT (select region_1.r_name, supplier_2.s_comment from region as region_1 inner join orders as orders_1 inner join supplier as supplier_2 on (orders_1.o_orderkey = supplier_2.s_suppkey ) on (region_1.r_regionkey = orders_1.o_orderkey ) inner join region as region_2 on (region_1.r_regionkey = region_2.r_regionkey ) where supplier_2.s_nationkey > region_1.r_regionkey limit 41);",YES,""
8,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select region_1.r_name, region_1.r_regionkey, region_1.r_comment from region as region_1 where region_1.r_name < region_1.r_name limit 33) EXCEPT (select customer_1.c_mktsegment, customer_1.c_custkey, customer_1.c_name from customer as customer_1 where customer_1.c_name is not NULL limit 21);",YES,""
9,"-- meta {""num_joins"":4,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select orders_1.o_comment, orders_1.o_orderstatus, orders_1.o_clerk, orders_1.o_custkey, orders_1.o_shippriority, orders_1.o_orderdate, orders_1.o_orderkey from orders as orders_1 where orders_1.o_shippriority is not NULL limit 28) UNION (select part_1.p_name, nation_1.n_name, orders_2.o_orderstatus, lineitem_1.l_orderkey, lineitem_1.l_suppkey, orders_2.o_orderdate, lineitem_1.l_linenumber from part as part_1 inner join lineitem as lineitem_1 inner join supplier as supplier_1 on (lineitem_1.l_orderkey = supplier_1.s_suppkey ) inner join orders as orders_2 inner join nation as nation_1 on (orders_2.o_orderkey = nation_1.n_nationkey ) on (lineitem_1.l_orderkey = nation_1.n_nationkey ) on (part_1.p_partkey = nation_1.n_nationkey ) where lineitem_1.l_tax >= lineitem_1.l_quantity limit 10);",YES,""
10,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select partsupp_1.ps_partkey, partsupp_1.ps_suppkey from partsupp as partsupp_1 where partsupp_1.ps_availqty >= partsupp_1.ps_partkey limit 10) UNION (select part_1.p_size, part_1.p_partkey from part as part_1 where part_1.p_retailprice <= part_1.p_retailprice limit 1);",YES,""
11,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select orders_1.o_orderkey, part_1.p_mfgr, customer_1.c_custkey from part as part_1 inner join orders as orders_1 on (part_1.p_partkey = orders_1.o_orderkey ) inner join customer as customer_1 on (part_1.p_partkey = customer_1.c_custkey ) where customer_1.c_phone is not NULL limit 35;",YES,""
12,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select customer_1.c_nationkey, customer_1.c_mktsegment, customer_1.c_acctbal from customer as customer_1 where customer_1.c_acctbal is not NULL limit 42) UNION (select lineitem_1.l_partkey, lineitem_1.l_shipinstruct, lineitem_1.l_quantity from lineitem as lineitem_1 inner join region as region_1 on (lineitem_1.l_orderkey = region_1.r_regionkey ) where lineitem_1.l_tax = lineitem_1.l_quantity limit 8);",YES,""
13,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select customer_1.c_custkey, customer_1.c_nationkey, customer_1.c_name, customer_1.c_phone, customer_1.c_mktsegment from customer as customer_1 where customer_1.c_custkey < customer_1.c_nationkey limit 24) EXCEPT (select region_2.r_regionkey, region_1.r_regionkey, region_1.r_comment, region_1.r_name, region_2.r_name from region as region_1 inner join region as region_2 on (region_1.r_regionkey = region_2.r_regionkey ) where region_1.r_comment is not NULL limit 25);",YES,""
14,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select customer_1.c_acctbal, customer_1.c_address, customer_1.c_mktsegment from customer as customer_1 where customer_1.c_nationkey is not NULL limit 2) UNION (select customer_2.c_acctbal, customer_2.c_comment, customer_2.c_phone from customer as customer_2 where customer_2.c_phone is not NULL limit 7);",YES,""
15,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select lineitem_1.l_linestatus, part_1.p_retailprice from part as part_1 inner join lineitem as lineitem_1 on (part_1.p_partkey = lineitem_1.l_orderkey ) where part_1.p_partkey is not NULL limit 2;",YES,""
16,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select lineitem_1.l_suppkey from customer as customer_1 inner join lineitem as lineitem_1 on (customer_1.c_custkey = lineitem_1.l_orderkey ) where lineitem_1.l_shipmode is not NULL limit 29) UNION (select nation_1.n_regionkey from nation as nation_1 where nation_1.n_nationkey > nation_1.n_regionkey limit 25);",YES,""
17,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select region_1.r_name, region_1.r_regionkey from region as region_1 where region_1.r_name is not NULL limit 30) EXCEPT (select nation_1.n_name, nation_1.n_nationkey from nation as nation_1 inner join partsupp as partsupp_1 on (nation_1.n_nationkey = partsupp_1.ps_partkey ) where partsupp_1.ps_suppkey is not NULL limit 42);",YES,""
18,"-- meta {""num_joins"":5,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select region_1.r_name, customer_1.c_name from customer as customer_1 inner join supplier as supplier_1 on (customer_1.c_custkey = supplier_1.s_suppkey ) inner join region as region_1 on (customer_1.c_custkey = region_1.r_regionkey ) where supplier_1.s_name is not NULL limit 31) UNION (select lineitem_1.l_linestatus, lineitem_1.l_comment from nation as nation_1 inner join part as part_1 inner join lineitem as lineitem_1 on (part_1.p_partkey = lineitem_1.l_orderkey ) on (nation_1.n_nationkey = lineitem_1.l_orderkey ) inner join supplier as supplier_2 on (part_1.p_partkey = supplier_2.s_suppkey ) where nation_1.n_name < part_1.p_container limit 6);",YES,""
19,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select region_2.r_comment, region_2.r_regionkey, region_1.r_name, region_1.r_regionkey from region as region_1 inner join region as region_2 on (region_1.r_regionkey = region_2.r_regionkey ) where region_2.r_comment is not NULL limit 24) UNION (select supplier_1.s_comment, supplier_1.s_nationkey, supplier_1.s_phone, supplier_1.s_suppkey from supplier as supplier_1 where supplier_1.s_name is not NULL limit 13);",YES,""
20,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select nation_1.n_comment, nation_1.n_nationkey from nation as nation_1 where nation_1.n_regionkey is not NULL limit 1) EXCEPT (select region_1.r_comment, region_2.r_regionkey from region as region_1 inner join region as region_2 on (region_1.r_regionkey = region_2.r_regionkey ) where region_1.r_comment is not NULL limit 21);",YES,""
21,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select nation_1.n_name, nation_1.n_comment from nation as nation_1 where nation_1.n_regionkey = nation_1.n_nationkey limit 31) EXCEPT (select lineitem_1.l_shipinstruct, nation_2.n_comment from lineitem as lineitem_1 inner join nation as nation_2 on (lineitem_1.l_orderkey = nation_2.n_nationkey ) where nation_2.n_name is not NULL limit 35);",YES,""
22,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select partsupp_1.ps_supplycost from lineitem as lineitem_1 inner join partsupp as partsupp_1 on (lineitem_1.l_orderkey = partsupp_1.ps_partkey ) where lineitem_1.l_orderkey is not NULL limit 12) UNION (select customer_1.c_acctbal from customer as customer_1 where customer_1.c_comment is not NULL limit 40);",YES,""
23,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select nation_1.n_regionkey, nation_1.n_comment, nation_1.n_nationkey from nation as nation_1 where nation_1.n_nationkey >= nation_1.n_regionkey limit 22) UNION (select nation_2.n_nationkey, part_1.p_type, part_1.p_size from nation as nation_2 inner join part as part_1 on (nation_2.n_nationkey = part_1.p_partkey ) inner join partsupp as partsupp_1 on (part_1.p_partkey = partsupp_1.ps_partkey ) where nation_2.n_nationkey <= part_1.p_size limit 40);",YES,""
24,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select part_1.p_brand from part as part_1 where part_1.p_retailprice is not NULL limit 36) EXCEPT (select part_2.p_mfgr from part as part_2 where part_2.p_size = part_2.p_partkey limit 12);",YES,""
25,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select part_1.p_mfgr, part_1.p_partkey, part_1.p_name, part_1.p_size, part_1.p_comment, part_1.p_type from part as part_1 where part_1.p_brand is not NULL limit 28) UNION (select region_1.r_name, region_1.r_regionkey, region_1.r_comment, region_1.r_regionkey, region_1.r_comment, region_1.r_comment from region as region_1 where region_1.r_regionkey is not NULL limit 42);",YES,""
26,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select lineitem_1.l_extendedprice, lineitem_1.l_quantity, partsupp_1.ps_availqty from partsupp as partsupp_1 inner join lineitem as lineitem_1 on (partsupp_1.ps_partkey = lineitem_1.l_orderkey ) where lineitem_1.l_shipinstruct > lineitem_1.l_linestatus limit 2;",YES,""
