id,query,success,error
1,"-- meta {""num_joins"":3,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select results_1.resultid , provsql.sr_why(provsql.provenance(), 'provmap') from circuits as circuits_1 inner join constructors as constructors_1 inner join constructors as constructors_2 inner join results as results_1 on (constructors_2.constructorid = results_1.resultid ) on (constructors_1.constructorid = results_1.resultid ) on (circuits_1.circuitid = constructors_2.constructorid ) where constructors_1.constructorid is not NULL limit 3;",YES,""
2,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select standings_1.position, standings_1.wins , provsql.sr_why(provsql.provenance(), 'provmap') from standings as standings_1 where standings_1.points is not NULL limit 1) EXCEPT (select races_1.round, races_1.round , provsql.sr_why(provsql.provenance(), 'provmap') from races as races_1 where races_1.round >= races_1.raceid limit 25);",YES,""
3,"-- meta {""num_joins"":3,""num_aggregates"":1,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select circuits_1.lat, races_1.round, circuits_1.lng, drivers_1.nationality, races_1.year , provsql.sr_why(provsql.provenance(), 'provmap') from drivers as drivers_1 inner join races as races_1 inner join circuits as circuits_1 on (races_1.raceid = circuits_1.circuitid ) on (drivers_1.driverid = circuits_1.circuitid ) where drivers_1.nationality is not NULL limit 42) UNION (select constructor_results_1.points, constructor_results_1.constructorid, min( constructor_results_1.date), drivers_2.forename, constructor_results_1.constructorresultsid , provsql.sr_why(provsql.provenance(), 'provmap') from drivers as drivers_2 inner join constructor_results as constructor_results_1 on (drivers_2.driverid = constructor_results_1.constructorresultsid ) where constructor_results_1.date is not NULL group by constructor_results_1.constructorresultsid, constructor_results_1.date, constructor_results_1.raceid, drivers_2.driverid, drivers_2.forename limit 23);",NO,"ERREUR:  les UNION types double precision et timestamp without time zone ne peuvent pas correspondre LIGNE 19 : min(            ^"
4,"-- meta {""num_joins"":2,""num_aggregates"":10,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select standings_1.position, max( drivers_1.dob), results_1.fastestlap, drivers_1.driverid, results_1.resultid, max( standings_1.points), min( standings_1.date), standings_1.driverid, count(*), drivers_1.dob, max( standings_1.date), min( results_1.milliseconds), drivers_1.driverref, results_1.constructorid , provsql.sr_why(provsql.provenance(), 'provmap') from results as results_1 inner join drivers as drivers_1 inner join standings as standings_1 on (drivers_1.driverid = standings_1.driverstandingsid ) on (results_1.resultid = standings_1.driverstandingsid ) where drivers_1.surname is not NULL group by drivers_1.dob, drivers_1.driverid, drivers_1.driverref, results_1.constructorid, results_1.fastestlap, results_1.resultid, standings_1.driverid, standings_1.position limit 35) EXCEPT (select results_2.resultid, min( results_2.date), max( results_2.rank), results_2.grid, results_2.driverid, avg( results_2.points), max( results_2.date), results_2.raceid, count(*), results_2.date, min( results_2.date), avg( results_2.rank), min( results_2.date), results_2.constructorid , provsql.sr_why(provsql.provenance(), 'provmap') from results as results_2 where results_2.rank = results_2.milliseconds group by results_2.constructorid, results_2.date, results_2.driverid, results_2.grid, results_2.position, results_2.rank, results_2.statusid limit 13);",NO,"ERREUR:  la colonne « results_2.resultid » doit apparaître dans la clause GROUP BY ou doit être utilisé dans une fonction d'agrégat LIGNE 32 : results_2.resultid,            ^"
5,"-- meta {""num_joins"":0,""num_aggregates"":1,""has_union"":false,""has_intersect"":false,""has_negation"":false} select constructor_standings_1.wins, constructor_standings_1.position, count(*), constructor_standings_1.raceid, constructor_standings_1.constructorid, constructor_standings_1.points , provsql.sr_why(provsql.provenance(), 'provmap') from constructor_standings as constructor_standings_1 where constructor_standings_1.date < constructor_standings_1.date group by constructor_standings_1.constructorid, constructor_standings_1.points, constructor_standings_1.position, constructor_standings_1.raceid, constructor_standings_1.wins limit 7;",YES,""
6,"-- meta {""num_joins"":1,""num_aggregates"":2,""has_union"":false,""has_intersect"":true,""has_negation"":false} (select drivers_1.driverref, drivers_1.dob , provsql.sr_why(provsql.provenance(), 'provmap') from drivers as drivers_1 where drivers_1.surname is not NULL limit 19) INTERSECT (select sum( constructor_standings_1.wins), max( constructor_results_1.date) , provsql.sr_why(provsql.provenance(), 'provmap') from constructor_standings as constructor_standings_1 inner join constructor_results as constructor_results_1 on (constructor_standings_1.constructorstandingsid = constructor_results_1.constructorresultsid ) where constructor_results_1.date is not NULL group by constructor_results_1.constructorid, constructor_standings_1.constructorstandingsid, constructor_standings_1.position, constructor_standings_1.raceid limit 28);",NO,"ERREUR:  les INTERSECT types text et numeric ne peuvent pas correspondre LIGNE 10 : sum(            ^"
7,"-- meta {""num_joins"":1,""num_aggregates"":1,""has_union"":false,""has_intersect"":false,""has_negation"":false} select constructor_standings_1.raceid, constructor_standings_2.wins, constructor_standings_1.wins, constructor_standings_2.constructorstandingsid, constructor_standings_2.date, min( constructor_standings_2.date) , provsql.sr_why(provsql.provenance(), 'provmap') from constructor_standings as constructor_standings_1 inner join constructor_standings as constructor_standings_2 on (constructor_standings_1.constructorstandingsid = constructor_standings_2.constructorstandingsid ) where constructor_standings_1.position is not NULL group by constructor_standings_1.raceid, constructor_standings_1.wins, constructor_standings_2.constructorstandingsid, constructor_standings_2.date, constructor_standings_2.wins limit 40;",YES,""
8,"-- meta {""num_joins"":5,""num_aggregates"":3,""has_union"":false,""has_intersect"":true,""has_negation"":false} (select results_1.date, standings_1.date , provsql.sr_why(provsql.provenance(), 'provmap') from circuits as circuits_1 inner join results as results_1 on (circuits_1.circuitid = results_1.resultid ) inner join standings as standings_1 on (circuits_1.circuitid = standings_1.driverstandingsid ) inner join constructors as constructors_1 on (circuits_1.circuitid = constructors_1.constructorid ) where constructors_1.constructorid is not NULL limit 28) INTERSECT (select results_3.date, results_2.date , provsql.sr_why(provsql.provenance(), 'provmap') from constructors as constructors_2 inner join results as results_2 on (constructors_2.constructorid = results_2.resultid ) inner join results as results_3 on (results_2.resultid = results_3.resultid ) where results_3.milliseconds is not NULL group by constructors_2.constructorref, constructors_2.name, results_2.fastestlap, results_2.grid, results_2.raceid, results_3.constructorid, results_3.driverid, results_3.laps, results_3.rank limit 20);",NO,"ERREUR:  la colonne « results_3.date » doit apparaître dans la clause GROUP BY ou doit être utilisé dans une fonction d'agrégat LIGNE 16 : results_3.date,            ^"
9,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":true,""has_negation"":false} (select races_1.round, races_1.circuitid, races_1.raceid , provsql.sr_why(provsql.provenance(), 'provmap') from races as races_1 where races_1.time is not NULL limit 42) INTERSECT (select circuits_1.circuitid, circuits_1.circuitid, circuits_1.circuitid , provsql.sr_why(provsql.provenance(), 'provmap') from circuits as circuits_1 where circuits_1.circuitref is not NULL limit 28);",NO,"ERREUR:  Set operations other than UNION and EXCEPT not supported by provsql"
10,"-- meta {""num_joins"":4,""num_aggregates"":1,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select constructors_1.constructorref , provsql.sr_why(provsql.provenance(), 'provmap') from constructor_results as constructor_results_1 inner join drivers as drivers_1 inner join races as races_1 on (drivers_1.driverid = races_1.raceid ) on (constructor_results_1.constructorresultsid = races_1.raceid ) inner join constructors as constructors_1 inner join constructors as constructors_2 on (constructors_1.constructorid = constructors_2.constructorid ) on (drivers_1.driverid = constructors_1.constructorid ) where constructors_1.constructorref is not NULL limit 9) EXCEPT (select constructors_3.name , provsql.sr_why(provsql.provenance(), 'provmap') from constructors as constructors_3 where constructors_3.name is not NULL group by constructors_3.constructorid, constructors_3.constructorref, constructors_3.nationality limit 1);",YES,""
