id,query,success,error
1,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select constructors_1.nationality, constructors_1.constructorref, constructors_1.name from constructors as constructors_1 where constructors_1.nationality is not NULL limit 27) UNION (select constructors_2.name, constructors_2.constructorref, constructors_2.nationality from constructors as constructors_2 where constructors_2.constructorref is not NULL limit 16);",YES,""
2,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select constructor_results_1.constructorresultsid, constructor_results_1.raceid, constructor_results_1.constructorid, constructor_results_1.points from constructor_results as constructor_results_1 where constructor_results_1.constructorid is not NULL limit 35) UNION (select constructor_results_2.raceid, constructor_results_2.constructorid, constructor_results_2.constructorresultsid, constructor_results_2.points from constructor_results as constructor_results_2 where constructor_results_2.constructorid is not NULL limit 20);",YES,""
3,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select results_1.rank, results_1.number, results_1.positionorder, results_1.statusid from results as results_1 where results_1.driverid is not NULL limit 19) EXCEPT (select constructor_results_1.points, constructor_results_1.points, constructor_results_1.constructorresultsid, constructor_results_1.constructorid from constructor_results as constructor_results_1 where constructor_results_1.date <= constructor_results_1.date limit 25);",YES,""
4,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select constructor_results_1.constructorid, constructor_results_1.points, constructors_1.constructorid from constructor_results as constructor_results_1 inner join constructors as constructors_1 on (constructor_results_1.constructorresultsid = constructors_1.constructorid ) where constructor_results_1.points is not NULL limit 27) UNION (select constructor_standings_1.wins, constructor_standings_1.points, constructor_standings_1.raceid from constructor_standings as constructor_standings_1 where constructor_standings_1.position is not NULL limit 28);",YES,""
5,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select constructors_1.nationality, drivers_1.driverid, constructor_standings_1.wins, constructor_standings_1.date, constructors_1.constructorref, constructor_standings_1.raceid, constructor_standings_1.constructorid, constructor_standings_1.points, drivers_1.dob, constructors_1.name from constructor_standings as constructor_standings_1 inner join constructors as constructors_1 on (constructor_standings_1.constructorstandingsid = constructors_1.constructorid ) inner join drivers as drivers_1 on (constructors_1.constructorid = drivers_1.driverid ) where constructor_standings_1.raceid is not NULL limit 21;",YES,""
6,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select results_1.positionorder, results_1.driverid, results_1.milliseconds from results as results_1 where results_1.number is not NULL limit 17) EXCEPT (select constructor_standings_1.constructorid, constructor_standings_1.position, constructor_standings_1.points from constructor_standings as constructor_standings_1 inner join constructors as constructors_1 on (constructor_standings_1.constructorstandingsid = constructors_1.constructorid ) where constructors_1.name is not NULL limit 36);",YES,""
7,"-- meta {""num_joins"":4,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select races_1.name from qualifying as qualifying_1 inner join drivers as drivers_1 inner join results as results_1 on (drivers_1.driverid = results_1.resultid ) on (qualifying_1.qualifyid = drivers_1.driverid ) inner join circuits as circuits_1 inner join races as races_1 on (circuits_1.circuitid = races_1.raceid ) on (results_1.resultid = races_1.raceid ) where results_1.points = results_1.number limit 29;",YES,""
8,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select constructor_standings_1.position, constructor_standings_1.constructorstandingsid, constructor_standings_1.date from constructor_standings as constructor_standings_1 where constructor_standings_1.points is not NULL limit 27;",YES,""
9,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select constructor_results_1.date, constructor_results_1.constructorresultsid, constructor_results_1.points from constructor_results as constructor_results_1 where constructor_results_1.constructorresultsid is not NULL limit 28;",YES,""
10,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select constructors_1.constructorref from constructors as constructors_1 where constructors_1.constructorid is not NULL limit 7) EXCEPT (select drivers_1.surname from constructor_standings as constructor_standings_1 inner join drivers as drivers_1 on (constructor_standings_1.constructorstandingsid = drivers_1.driverid ) where constructor_standings_1.constructorid is not NULL limit 40);",YES,""
11,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select results_1.laps from results as results_1 inner join qualifying as qualifying_1 on (results_1.resultid = qualifying_1.qualifyid ) where results_1.fastestlap is not NULL limit 21) UNION (select constructor_results_1.constructorresultsid from constructor_results as constructor_results_1 where constructor_results_1.constructorid is not NULL limit 15);",YES,""
12,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select constructor_results_1.date, constructor_results_1.constructorid from constructor_results as constructor_results_1 inner join qualifying as qualifying_1 on (constructor_results_1.constructorresultsid = qualifying_1.qualifyid ) where qualifying_1.raceid is not NULL limit 16) UNION (select qualifying_2.date, qualifying_2.driverid from qualifying as qualifying_2 inner join constructor_results as constructor_results_2 on (qualifying_2.qualifyid = constructor_results_2.constructorresultsid ) where qualifying_2.date >= constructor_results_2.date limit 37);",YES,""
13,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select standings_1.position, standings_1.date from standings as standings_1 where standings_1.position is not NULL limit 34) EXCEPT (select qualifying_1.position, constructor_results_1.date from qualifying as qualifying_1 inner join constructor_results as constructor_results_1 on (qualifying_1.qualifyid = constructor_results_1.constructorresultsid ) where qualifying_1.constructorid is not NULL limit 5);",YES,""
14,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select distinct standings_1.points from races as races_1 inner join standings as standings_1 on (races_1.raceid = standings_1.driverstandingsid ) where races_1.raceid is not NULL limit 41) UNION (select results_1.fastestlap from results as results_1 where results_1.fastestlap is not NULL limit 5);",YES,""
15,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select standings_1.position from standings as standings_1 where standings_1.date is not NULL limit 42) UNION (select races_1.raceid from constructors as constructors_1 inner join races as races_1 on (constructors_1.constructorid = races_1.raceid ) where races_1.round is not NULL limit 22);",YES,""
16,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select results_1.position, results_1.milliseconds, results_1.laps from results as results_1 where results_1.resultid is not NULL limit 35) UNION (select circuits_1.alt, circuits_1.lat, circuits_1.circuitid from circuits as circuits_1 where circuits_1.circuitid is not NULL limit 38);",YES,""
17,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select results_1.raceid, constructor_standings_1.position, results_1.positionorder, results_1.rank, constructor_standings_1.constructorstandingsid, results_1.resultid, results_1.fastestlap from results as results_1 inner join constructor_standings as constructor_standings_1 on (results_1.resultid = constructor_standings_1.constructorstandingsid ) where results_1.laps is not NULL limit 11;",YES,""
18,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select constructor_results_1.constructorresultsid, constructor_results_1.constructorid from constructor_results as constructor_results_1 where constructor_results_1.points is not NULL limit 3) EXCEPT (select constructor_results_2.constructorresultsid, constructor_results_2.raceid from constructor_results as constructor_results_2 where constructor_results_2.points is not NULL limit 37);",YES,""
19,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select qualifying_1.date from qualifying as qualifying_1 where qualifying_1.position is not NULL limit 7) EXCEPT (select qualifying_2.date from qualifying as qualifying_2 where qualifying_2.driverid is not NULL limit 26);",YES,""
20,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select circuits_1.lng, circuits_1.circuitref, circuits_1.alt from circuits as circuits_1 where circuits_1.alt is not NULL limit 12) EXCEPT (select circuits_2.lng, circuits_2.name, circuits_2.lat from circuits as circuits_2 where circuits_2.country is not NULL limit 23);",YES,""
