id,query,success,error
1,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select postlinks_1.linktypeid, postlinks_1.id, postlinks_1.relatedpostid, postlinks_1.creationdate, postlinks_1.postid from postlinks as postlinks_1 where postlinks_1.relatedpostid is not NULL limit 19) EXCEPT (select users_1.profileimageurl, votes_1.userid, users_1.id, users_1.creationdate, votes_1.id from votes as votes_1 inner join users as users_1 on (votes_1.id = users_1.id ) where votes_1.creationdate <= users_1.creationdate limit 23);",NO,"ERREUR:  l'attribut 1 de type record a un mauvais type DÉTAIL : La table a le type bigint alors que la requête attend double precision."
2,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select votes_1.creationdate, votes_1.votetypeid, votes_1.id from votes as votes_1 where votes_1.creationdate <= votes_1.creationdate limit 30) EXCEPT (select postlinks_1.creationdate, postlinks_1.postid, postlinks_1.id from postlinks as postlinks_1 where postlinks_1.relatedpostid is not NULL limit 15);",YES,""
3,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select users_1.id, users_1.location, users_1.profileimageurl, users_1.accountid from users as users_1 where users_1.websiteurl is not NULL limit 39) UNION (select posts_1.parentid, posts_1.body, posts_1.posttypeid, posts_1.id from posts as posts_1 where posts_1.body <= posts_1.ownerdisplayname limit 15);",YES,""
4,"-- meta {""num_joins"":3,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select votes_1.userid, votes_1.creationdate, votes_1.votetypeid from votes as votes_1 where votes_1.creationdate is not NULL limit 24) UNION (select postlinks_1.linktypeid, votes_2.creationdate, users_1.id from votes as votes_2 inner join postlinks as postlinks_1 inner join users as users_1 on (postlinks_1.id = users_1.id ) inner join comments as comments_1 on (users_1.id = comments_1.id ) on (votes_2.id = users_1.id ) where votes_2.id is not NULL limit 4);",YES,""
5,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select votes_1.id, votes_1.userid, votes_1.votetypeid, votes_1.creationdate, votes_1.postid from votes as votes_1 where votes_1.userid is not NULL limit 21) EXCEPT (select posthistory_1.userid, posthistory_1.postid, posthistory_1.id, posthistory_1.creationdate, posthistory_1.posthistorytypeid from posthistory as posthistory_1 where posthistory_1.creationdate is not NULL limit 39);",YES,""
6,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select users_1.id, users_1.websiteurl, users_1.aboutme, users_1.creationdate, users_1.profileimageurl from users as users_1 where users_1.aboutme is not NULL limit 13) EXCEPT (select badges_1.class, badges_1.name, badges_1.name, badges_1.date, badges_1.id from badges as badges_1 where badges_1.name is not NULL limit 7);",NO,"ERREUR:  l'attribut 5 de type record a un mauvais type DÉTAIL : La table a le type bigint alors que la requête attend double precision."
7,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select posthistory_1.userid, posthistory_1.posthistorytypeid, posthistory_1.revisionguid, posthistory_1.id from posthistory as posthistory_1 where posthistory_1.creationdate > posthistory_1.creationdate limit 25) UNION (select badges_1.id, badges_1.userid, badges_1.name, badges_1.class from badges as badges_1 where badges_1.name > badges_1.name limit 20);",YES,""
8,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select posthistory_1.contentlicense, posthistory_1.postid, posthistory_1.revisionguid, posthistory_1.comment from posthistory as posthistory_1 where posthistory_1.userid is not NULL limit 10) EXCEPT (select badges_1.name, badges_1.class, badges_1.name, badges_1.name from votes as votes_1 inner join badges as badges_1 on (votes_1.id = badges_1.id ) where votes_1.creationdate >= badges_1.date limit 33);",YES,""
9,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select badges_1.class, badges_1.id, badges_1.name, badges_1.tagbased, badges_1.date from badges as badges_1 where badges_1.name is not NULL limit 11) UNION (select badges_2.userid, badges_2.class, badges_2.name, badges_2.tagbased, badges_2.date from badges as badges_2 where badges_2.name is not NULL limit 31);",YES,""
10,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select badges_1.class, badges_1.date, badges_1.id, badges_1.userid, badges_1.name from badges as badges_1 where badges_1.class is not NULL limit 19) UNION (select posthistory_1.postid, posthistory_1.creationdate, posthistory_1.posthistorytypeid, posthistory_1.userid, posthistory_1.contentlicense from posthistory as posthistory_1 where posthistory_1.comment >= posthistory_1.contentlicense limit 21);",YES,""
